GT_date,AMZN
2021-01-01,38
2021-01-02,38
2021-01-03,40
2021-01-04,40
2021-01-05,40
2021-01-06,40
2021-01-07,40
2021-01-08,40
2021-01-09,40
2021-01-10,37
2021-01-11,37
2021-01-12,37
2021-01-13,37
2021-01-14,37
2021-01-15,37
2021-01-16,37
2021-01-17,36
2021-01-18,36
2021-01-19,36
2021-01-20,36
2021-01-21,36
2021-01-22,36
2021-01-23,36
2021-01-24,45
2021-01-25,45
2021-01-26,45
2021-01-27,45
2021-01-28,45
2021-01-29,45
2021-01-30,45
2021-01-31,82
2021-02-01,82
2021-02-02,82
2021-02-03,82
2021-02-04,82
2021-02-05,82
2021-02-06,82
2021-02-07,37
2021-02-08,37
2021-02-09,37
2021-02-10,37
2021-02-11,37
2021-02-12,37
2021-02-13,37
2021-02-14,30
2021-02-15,30
2021-02-16,30
2021-02-17,30
2021-02-18,30
2021-02-19,30
2021-02-20,30
2021-02-21,37
2021-02-22,37
2021-02-23,37
2021-02-24,37
2021-02-25,37
2021-02-26,37
2021-02-27,37
2021-02-28,37
2021-03-01,37
2021-03-02,37
2021-03-03,37
2021-03-04,37
2021-03-05,37
2021-03-06,37
2021-03-07,39
2021-03-08,39
2021-03-09,39
2021-03-10,39
2021-03-11,39
2021-03-12,39
2021-03-13,39
2021-03-14,30
2021-03-15,30
2021-03-16,30
2021-03-17,30
2021-03-18,30
2021-03-19,30
2021-03-20,30
2021-03-21,28
2021-03-22,28
2021-03-23,28
2021-03-24,28
2021-03-25,28
2021-03-26,28
2021-03-27,28
2021-03-28,27
2021-03-29,27
2021-03-30,27
2021-03-31,27
2021-04-01,27
2021-04-02,27
2021-04-03,27
2021-04-04,31
2021-04-05,31
2021-04-06,31
2021-04-07,31
2021-04-08,31
2021-04-09,31
2021-04-10,31
2021-04-11,34
2021-04-12,34
2021-04-13,34
2021-04-14,34
2021-04-15,34
2021-04-16,34
2021-04-17,34
2021-04-18,25
2021-04-19,25
2021-04-20,25
2021-04-21,25
2021-04-22,25
2021-04-23,25
2021-04-24,25
2021-04-25,58
2021-04-26,58
2021-04-27,58
2021-04-28,58
2021-04-29,58
2021-04-30,58
2021-05-01,58
2021-05-02,35
2021-05-03,35
2021-05-04,35
2021-05-05,35
2021-05-06,35
2021-05-07,35
2021-05-08,35
2021-05-09,36
2021-05-10,36
2021-05-11,36
2021-05-12,36
2021-05-13,36
2021-05-14,36
2021-05-15,36
2021-05-16,27
2021-05-17,27
2021-05-18,27
2021-05-19,27
2021-05-20,27
2021-05-21,27
2021-05-22,27
2021-05-23,29
2021-05-24,29
2021-05-25,29
2021-05-26,29
2021-05-27,29
2021-05-28,29
2021-05-29,29
2021-05-30,19
2021-05-31,19
2021-06-01,19
2021-06-02,19
2021-06-03,19
2021-06-04,19
2021-06-05,19
2021-06-06,25
2021-06-07,25
2021-06-08,25
2021-06-09,25
2021-06-10,25
2021-06-11,25
2021-06-12,25
2021-06-13,27
2021-06-14,27
2021-06-15,27
2021-06-16,27
2021-06-17,27
2021-06-18,27
2021-06-19,27
2021-06-20,30
2021-06-21,30
2021-06-22,30
2021-06-23,30
2021-06-24,30
2021-06-25,30
2021-06-26,30
2021-06-27,28
2021-06-28,28
2021-06-29,28
2021-06-30,28
2021-07-01,28
2021-07-02,28
2021-07-03,28
2021-07-04,45
2021-07-05,45
2021-07-06,45
2021-07-07,45
2021-07-08,45
2021-07-09,45
2021-07-10,45
2021-07-11,32
2021-07-12,32
2021-07-13,32
2021-07-14,32
2021-07-15,32
2021-07-16,32
2021-07-17,32
2021-07-18,35
2021-07-19,35
2021-07-20,35
2021-07-21,35
2021-07-22,35
2021-07-23,35
2021-07-24,35
2021-07-25,59
2021-07-26,59
2021-07-27,59
2021-07-28,59
2021-07-29,59
2021-07-30,59
2021-07-31,59
2021-08-01,36
2021-08-02,36
2021-08-03,36
2021-08-04,36
2021-08-05,36
2021-08-06,36
2021-08-07,36
