GT_date,wayfair
2019-01-01,27
2019-01-02,27
2019-01-03,27
2019-01-04,27
2019-01-05,27
2019-01-06,25
2019-01-07,25
2019-01-08,25
2019-01-09,25
2019-01-10,25
2019-01-11,25
2019-01-12,25
2019-01-13,24
2019-01-14,24
2019-01-15,24
2019-01-16,24
2019-01-17,24
2019-01-18,24
2019-01-19,24
2019-01-20,24
2019-01-21,24
2019-01-22,24
2019-01-23,24
2019-01-24,24
2019-01-25,24
2019-01-26,24
2019-01-27,24
2019-01-28,24
2019-01-29,24
2019-01-30,24
2019-01-31,24
2019-02-01,24
2019-02-02,24
2019-02-03,23
2019-02-04,23
2019-02-05,23
2019-02-06,23
2019-02-07,23
2019-02-08,23
2019-02-09,23
2019-02-10,21
2019-02-11,21
2019-02-12,21
2019-02-13,21
2019-02-14,21
2019-02-15,21
2019-02-16,21
2019-02-17,24
2019-02-18,24
2019-02-19,24
2019-02-20,24
2019-02-21,24
2019-02-22,24
2019-02-23,24
2019-02-24,22
2019-02-25,22
2019-02-26,22
2019-02-27,22
2019-02-28,22
2019-03-01,22
2019-03-02,22
2019-03-03,23
2019-03-04,23
2019-03-05,23
2019-03-06,23
2019-03-07,23
2019-03-08,23
2019-03-09,23
2019-03-10,23
2019-03-11,23
2019-03-12,23
2019-03-13,23
2019-03-14,23
2019-03-15,23
2019-03-16,23
2019-03-17,22
2019-03-18,22
2019-03-19,22
2019-03-20,22
2019-03-21,22
2019-03-22,22
2019-03-23,22
2019-03-24,22
2019-03-25,22
2019-03-26,22
2019-03-27,22
2019-03-28,22
2019-03-29,22
2019-03-30,22
2019-03-31,23
2019-04-01,23
2019-04-02,23
2019-04-03,23
2019-04-04,23
2019-04-05,23
2019-04-06,23
2019-04-07,29
2019-04-08,29
2019-04-09,29
2019-04-10,29
2019-04-11,29
2019-04-12,29
2019-04-13,29
2019-04-14,23
2019-04-15,23
2019-04-16,23
2019-04-17,23
2019-04-18,23
2019-04-19,23
2019-04-20,23
2019-04-21,22
2019-04-22,22
2019-04-23,22
2019-04-24,22
2019-04-25,22
2019-04-26,22
2019-04-27,22
2019-04-28,23
