GT_date,MSFT
2021-01-01,27
2021-01-02,27
2021-01-03,29
2021-01-04,29
2021-01-05,29
2021-01-06,29
2021-01-07,29
2021-01-08,29
2021-01-09,29
2021-01-10,28
2021-01-11,28
2021-01-12,28
2021-01-13,28
2021-01-14,28
2021-01-15,28
2021-01-16,28
2021-01-17,28
2021-01-18,28
2021-01-19,28
2021-01-20,28
2021-01-21,28
2021-01-22,28
2021-01-23,28
2021-01-24,67
2021-01-25,67
2021-01-26,67
2021-01-27,67
2021-01-28,67
2021-01-29,67
2021-01-30,67
2021-01-31,43
2021-02-01,43
2021-02-02,43
2021-02-03,43
2021-02-04,43
2021-02-05,43
2021-02-06,43
2021-02-07,33
2021-02-08,33
2021-02-09,33
2021-02-10,33
2021-02-11,33
2021-02-12,33
2021-02-13,33
2021-02-14,25
2021-02-15,25
2021-02-16,25
2021-02-17,25
2021-02-18,25
2021-02-19,25
2021-02-20,25
2021-02-21,35
2021-02-22,35
2021-02-23,35
2021-02-24,35
2021-02-25,35
2021-02-26,35
2021-02-27,35
2021-02-28,32
2021-03-01,32
2021-03-02,32
2021-03-03,32
2021-03-04,32
2021-03-05,32
2021-03-06,32
2021-03-07,34
2021-03-08,34
2021-03-09,34
2021-03-10,34
2021-03-11,34
2021-03-12,34
2021-03-13,34
2021-03-14,29
2021-03-15,29
2021-03-16,29
2021-03-17,29
2021-03-18,29
2021-03-19,29
2021-03-20,29
2021-03-21,30
2021-03-22,30
2021-03-23,30
2021-03-24,30
2021-03-25,30
2021-03-26,30
2021-03-27,30
2021-03-28,27
2021-03-29,27
2021-03-30,27
2021-03-31,27
2021-04-01,27
2021-04-02,27
2021-04-03,27
2021-04-04,34
2021-04-05,34
2021-04-06,34
2021-04-07,34
2021-04-08,34
2021-04-09,34
2021-04-10,34
2021-04-11,36
2021-04-12,36
2021-04-13,36
2021-04-14,36
2021-04-15,36
2021-04-16,36
2021-04-17,36
2021-04-18,29
2021-04-19,29
2021-04-20,29
2021-04-21,29
2021-04-22,29
2021-04-23,29
2021-04-24,29
2021-04-25,55
2021-04-26,55
2021-04-27,55
2021-04-28,55
2021-04-29,55
2021-04-30,55
2021-05-01,55
2021-05-02,34
2021-05-03,34
2021-05-04,34
2021-05-05,34
2021-05-06,34
2021-05-07,34
2021-05-08,34
2021-05-09,29
2021-05-10,29
2021-05-11,29
2021-05-12,29
2021-05-13,29
2021-05-14,29
2021-05-15,29
2021-05-16,27
2021-05-17,27
2021-05-18,27
2021-05-19,27
2021-05-20,27
2021-05-21,27
2021-05-22,27
2021-05-23,25
2021-05-24,25
2021-05-25,25
2021-05-26,25
2021-05-27,25
2021-05-28,25
2021-05-29,25
2021-05-30,21
2021-05-31,21
2021-06-01,21
2021-06-02,21
2021-06-03,21
2021-06-04,21
2021-06-05,21
2021-06-06,24
2021-06-07,24
2021-06-08,24
2021-06-09,24
2021-06-10,24
2021-06-11,24
2021-06-12,24
2021-06-13,23
2021-06-14,23
2021-06-15,23
2021-06-16,23
2021-06-17,23
2021-06-18,23
2021-06-19,23
2021-06-20,32
2021-06-21,32
2021-06-22,32
2021-06-23,32
2021-06-24,32
2021-06-25,32
2021-06-26,32
2021-06-27,33
2021-06-28,33
2021-06-29,33
2021-06-30,33
2021-07-01,33
2021-07-02,33
2021-07-03,33
2021-07-04,32
2021-07-05,32
2021-07-06,32
2021-07-07,32
2021-07-08,32
2021-07-09,32
2021-07-10,32
2021-07-11,29
2021-07-12,29
2021-07-13,29
2021-07-14,29
2021-07-15,29
2021-07-16,29
2021-07-17,29
2021-07-18,35
2021-07-19,35
2021-07-20,35
2021-07-21,35
2021-07-22,35
2021-07-23,35
2021-07-24,35
2021-07-25,48
2021-07-26,48
2021-07-27,48
2021-07-28,48
2021-07-29,48
2021-07-30,48
2021-07-31,48
2021-08-01,27
2021-08-02,27
2021-08-03,27
2021-08-04,27
2021-08-05,27
2021-08-06,27
2021-08-07,27
2021-08-08,26
2021-08-09,26
2021-08-10,26
2021-08-11,26
2021-08-12,26
2021-08-13,26
2021-08-14,26
2021-08-15,31
2021-08-16,31
2021-08-17,31
2021-08-18,31
2021-08-19,31
2021-08-20,31
2021-08-21,31
2021-08-22,33
2021-08-23,33
2021-08-24,33
2021-08-25,33
2021-08-26,33
2021-08-27,33
2021-08-28,33
2021-08-29,28
2021-08-30,28
2021-08-31,28
2021-09-01,28
2021-09-02,28
2021-09-03,28
2021-09-04,28
2021-09-05,23
2021-09-06,23
2021-09-07,23
2021-09-08,23
2021-09-09,23
2021-09-10,23
2021-09-11,23
2021-09-12,31
2021-09-13,31
2021-09-14,31
2021-09-15,31
2021-09-16,31
2021-09-17,31
2021-09-18,31
2021-09-19,28
2021-09-20,28
2021-09-21,28
2021-09-22,28
2021-09-23,28
2021-09-24,28
2021-09-25,28
2021-09-26,33
2021-09-27,33
2021-09-28,33
2021-09-29,33
2021-09-30,33
2021-10-01,33
2021-10-02,33
2021-10-03,24
2021-10-04,24
2021-10-05,24
2021-10-06,24
2021-10-07,24
2021-10-08,24
2021-10-09,24
2021-10-10,21
2021-10-11,21
2021-10-12,21
2021-10-13,21
2021-10-14,21
2021-10-15,21
2021-10-16,21
2021-10-17,24
2021-10-18,24
2021-10-19,24
2021-10-20,24
2021-10-21,24
2021-10-22,24
2021-10-23,24
2021-10-24,44
2021-10-25,44
2021-10-26,44
2021-10-27,44
2021-10-28,44
2021-10-29,44
2021-10-30,44
2021-10-31,33
2021-11-01,33
2021-11-02,33
2021-11-03,33
2021-11-04,33
2021-11-05,33
2021-11-06,33
2021-11-07,25
2021-11-08,25
2021-11-09,25
2021-11-10,25
2021-11-11,25
2021-11-12,25
2021-11-13,25
2021-11-14,27
2021-11-15,27
2021-11-16,27
2021-11-17,27
2021-11-18,27
2021-11-19,27
2021-11-20,27
2021-11-21,24
2021-11-22,24
2021-11-23,24
2021-11-24,24
2021-11-25,24
2021-11-26,24
2021-11-27,24
2021-11-28,31
2021-11-29,31
2021-11-30,31
2021-12-01,31
2021-12-02,31
2021-12-03,31
2021-12-04,31
2021-12-05,29
2021-12-06,29
2021-12-07,29
2021-12-08,29
2021-12-09,29
2021-12-10,29
2021-12-11,29
2021-12-12,27
2021-12-13,27
2021-12-14,27
2021-12-15,27
2021-12-16,27
2021-12-17,27
2021-12-18,27
2021-12-19,26
2021-12-20,26
2021-12-21,26
2021-12-22,26
2021-12-23,26
2021-12-24,26
2021-12-25,26
2021-12-26,26
2021-12-27,26
2021-12-28,26
2021-12-29,26
2021-12-30,26
2021-12-31,26
2022-01-01,26
