Category: All categories

Week,wayfair: (United States)
2017-04-09,32
2017-04-16,32
2017-04-23,34
2017-04-30,34
2017-05-07,34
2017-05-14,33
2017-05-21,35
2017-05-28,39
2017-06-04,35
2017-06-11,37
2017-06-18,38
2017-06-25,40
2017-07-02,42
2017-07-09,39
2017-07-16,39
2017-07-23,40
2017-07-30,40
2017-08-06,40
2017-08-13,39
2017-08-20,37
2017-08-27,38
2017-09-03,39
2017-09-10,35
2017-09-17,35
2017-09-24,36
2017-10-01,36
2017-10-08,37
2017-10-15,38
2017-10-22,39
2017-10-29,38
2017-11-05,44
2017-11-12,47
2017-11-19,58
2017-11-26,51
2017-12-03,38
2017-12-10,35
2017-12-17,31
2017-12-24,45
2017-12-31,50
2018-01-07,43
2018-01-14,42
2018-01-21,40
2018-01-28,40
2018-02-04,41
2018-02-11,39
2018-02-18,46
2018-02-25,42
2018-03-04,42
2018-03-11,41
2018-03-18,40
2018-03-25,39
2018-04-01,40
2018-04-08,40
2018-04-15,43
2018-04-22,53
2018-04-29,39
2018-05-06,39
2018-05-13,40
2018-05-20,42
2018-05-27,45
2018-06-03,41
2018-06-10,42
2018-06-17,44
2018-06-24,44
2018-07-01,45
2018-07-08,43
2018-07-15,43
2018-07-22,45
2018-07-29,47
2018-08-05,43
2018-08-12,44
2018-08-19,45
2018-08-26,44
2018-09-02,45
2018-09-09,39
2018-09-16,39
2018-09-23,39
2018-09-30,40
2018-10-07,40
2018-10-14,39
2018-10-21,40
2018-10-28,43
2018-11-04,45
2018-11-11,50
2018-11-18,64
2018-11-25,60
2018-12-02,45
2018-12-09,42
2018-12-16,36
2018-12-23,48
2018-12-30,56
2019-01-06,50
2019-01-13,49
2019-01-20,50
2019-01-27,49
2019-02-03,44
2019-02-10,45
2019-02-17,52
2019-02-24,47
2019-03-03,47
2019-03-10,46
2019-03-17,45
2019-03-24,46
2019-03-31,46
2019-04-07,62
2019-04-14,47
2019-04-21,45
2019-04-28,45
2019-05-05,48
2019-05-12,47
2019-05-19,51
2019-05-26,55
2019-06-02,50
2019-06-09,47
2019-06-16,51
2019-06-23,62
2019-06-30,52
2019-07-07,48
2019-07-14,49
2019-07-21,49
2019-07-28,49
2019-08-04,46
2019-08-11,50
2019-08-18,50
2019-08-25,49
2019-09-01,51
2019-09-08,44
2019-09-15,45
2019-09-22,44
2019-09-29,45
2019-10-06,43
2019-10-13,45
2019-10-20,45
2019-10-27,47
2019-11-03,55
2019-11-10,53
2019-11-17,57
2019-11-24,69
2019-12-01,64
2019-12-08,46
2019-12-15,39
2019-12-22,47
2019-12-29,59
2020-01-05,50
2020-01-12,49
2020-01-19,51
2020-01-26,46
2020-02-02,46
2020-02-09,50
2020-02-16,53
2020-02-23,51
2020-03-01,50
2020-03-08,49
2020-03-15,46
2020-03-22,55
2020-03-29,62
2020-04-05,71
2020-04-12,82
2020-04-19,90
2020-04-26,100
