GT_date,TSLA
2021-01-01,32
2021-01-02,32
2021-01-03,58
2021-01-04,58
2021-01-05,58
2021-01-06,58
2021-01-07,58
2021-01-08,58
2021-01-09,58
2021-01-10,52
2021-01-11,52
2021-01-12,52
2021-01-13,52
2021-01-14,52
2021-01-15,52
2021-01-16,52
2021-01-17,32
2021-01-18,32
2021-01-19,32
2021-01-20,32
2021-01-21,32
2021-01-22,32
2021-01-23,32
2021-01-24,51
2021-01-25,51
2021-01-26,51
2021-01-27,51
2021-01-28,51
2021-01-29,51
2021-01-30,51
2021-01-31,36
2021-02-01,36
2021-02-02,36
2021-02-03,36
2021-02-04,36
2021-02-05,36
2021-02-06,36
2021-02-07,35
2021-02-08,35
2021-02-09,35
2021-02-10,35
2021-02-11,35
2021-02-12,35
2021-02-13,35
2021-02-14,30
2021-02-15,30
2021-02-16,30
2021-02-17,30
2021-02-18,30
2021-02-19,30
2021-02-20,30
2021-02-21,55
2021-02-22,55
2021-02-23,55
2021-02-24,55
2021-02-25,55
2021-02-26,55
2021-02-27,55
2021-02-28,48
2021-03-01,48
2021-03-02,48
2021-03-03,48
2021-03-04,48
2021-03-05,48
2021-03-06,48
2021-03-07,57
2021-03-08,57
2021-03-09,57
2021-03-10,57
2021-03-11,57
2021-03-12,57
2021-03-13,57
2021-03-14,35
2021-03-15,35
2021-03-16,35
2021-03-17,35
2021-03-18,35
2021-03-19,35
2021-03-20,35
2021-03-21,34
2021-03-22,34
2021-03-23,34
2021-03-24,34
2021-03-25,34
2021-03-26,34
2021-03-27,34
2021-03-28,31
2021-03-29,31
2021-03-30,31
2021-03-31,31
2021-04-01,31
2021-04-02,31
2021-04-03,31
2021-04-04,34
2021-04-05,34
2021-04-06,34
2021-04-07,34
2021-04-08,34
2021-04-09,34
2021-04-10,34
2021-04-11,35
2021-04-12,35
2021-04-13,35
2021-04-14,35
2021-04-15,35
2021-04-16,35
2021-04-17,35
2021-04-18,28
2021-04-19,28
2021-04-20,28
2021-04-21,28
2021-04-22,28
2021-04-23,28
2021-04-24,28
2021-04-25,37
2021-04-26,37
2021-04-27,37
2021-04-28,37
2021-04-29,37
2021-04-30,37
2021-05-01,37
2021-05-02,25
2021-05-03,25
2021-05-04,25
2021-05-05,25
2021-05-06,25
2021-05-07,25
2021-05-08,25
2021-05-09,36
2021-05-10,36
2021-05-11,36
2021-05-12,36
2021-05-13,36
2021-05-14,36
2021-05-15,36
2021-05-16,34
2021-05-17,34
2021-05-18,34
2021-05-19,34
2021-05-20,34
2021-05-21,34
2021-05-22,34
2021-05-23,26
2021-05-24,26
2021-05-25,26
2021-05-26,26
2021-05-27,26
2021-05-28,26
2021-05-29,26
2021-05-30,21
2021-05-31,21
2021-06-01,21
2021-06-02,21
2021-06-03,21
2021-06-04,21
2021-06-05,21
2021-06-06,23
2021-06-07,23
2021-06-08,23
2021-06-09,23
2021-06-10,23
2021-06-11,23
2021-06-12,23
2021-06-13,18
2021-06-14,18
2021-06-15,18
2021-06-16,18
2021-06-17,18
2021-06-18,18
2021-06-19,18
2021-06-20,24
2021-06-21,24
2021-06-22,24
2021-06-23,24
2021-06-24,24
2021-06-25,24
2021-06-26,24
2021-06-27,22
2021-06-28,22
2021-06-29,22
2021-06-30,22
2021-07-01,22
2021-07-02,22
2021-07-03,22
2021-07-04,16
2021-07-05,16
2021-07-06,16
2021-07-07,16
2021-07-08,16
2021-07-09,16
2021-07-10,16
2021-07-11,19
2021-07-12,19
2021-07-13,19
2021-07-14,19
2021-07-15,19
2021-07-16,19
2021-07-17,19
2021-07-18,18
2021-07-19,18
2021-07-20,18
2021-07-21,18
2021-07-22,18
2021-07-23,18
2021-07-24,18
2021-07-25,26
2021-07-26,26
2021-07-27,26
2021-07-28,26
2021-07-29,26
2021-07-30,26
2021-07-31,26
2021-08-01,22
2021-08-02,22
2021-08-03,22
2021-08-04,22
2021-08-05,22
2021-08-06,22
2021-08-07,22
2021-08-08,18
2021-08-09,18
2021-08-10,18
2021-08-11,18
2021-08-12,18
2021-08-13,18
2021-08-14,18
2021-08-15,21
2021-08-16,21
2021-08-17,21
2021-08-18,21
2021-08-19,21
2021-08-20,21
2021-08-21,21
2021-08-22,17
2021-08-23,17
2021-08-24,17
2021-08-25,17
2021-08-26,17
2021-08-27,17
2021-08-28,17
2021-08-29,18
2021-08-30,18
2021-08-31,18
2021-09-01,18
2021-09-02,18
2021-09-03,18
2021-09-04,18
2021-09-05,15
2021-09-06,15
2021-09-07,15
2021-09-08,15
2021-09-09,15
2021-09-10,15
2021-09-11,15
2021-09-12,16
2021-09-13,16
2021-09-14,16
2021-09-15,16
2021-09-16,16
2021-09-17,16
2021-09-18,16
2021-09-19,15
2021-09-20,15
2021-09-21,15
2021-09-22,15
2021-09-23,15
2021-09-24,15
2021-09-25,15
2021-09-26,18
2021-09-27,18
2021-09-28,18
2021-09-29,18
2021-09-30,18
2021-10-01,18
2021-10-02,18
2021-10-03,16
2021-10-04,16
2021-10-05,16
2021-10-06,16
2021-10-07,16
2021-10-08,16
2021-10-09,16
2021-10-10,14
2021-10-11,14
2021-10-12,14
2021-10-13,14
2021-10-14,14
2021-10-15,14
2021-10-16,14
2021-10-17,22
2021-10-18,22
2021-10-19,22
2021-10-20,22
2021-10-21,22
2021-10-22,22
2021-10-23,22
2021-10-24,38
2021-10-25,38
2021-10-26,38
2021-10-27,38
2021-10-28,38
2021-10-29,38
2021-10-30,38
2021-10-31,33
2021-11-01,33
2021-11-02,33
2021-11-03,33
2021-11-04,33
2021-11-05,33
2021-11-06,33
2021-11-07,39
2021-11-08,39
2021-11-09,39
2021-11-10,39
2021-11-11,39
2021-11-12,39
2021-11-13,39
2021-11-14,26
2021-11-15,26
2021-11-16,26
2021-11-17,26
2021-11-18,26
2021-11-19,26
2021-11-20,26
2021-11-21,17
2021-11-22,17
2021-11-23,17
2021-11-24,17
2021-11-25,17
2021-11-26,17
2021-11-27,17
2021-11-28,20
2021-11-29,20
2021-11-30,20
2021-12-01,20
2021-12-02,20
2021-12-03,20
2021-12-04,20
2021-12-05,21
2021-12-06,21
2021-12-07,21
2021-12-08,21
2021-12-09,21
2021-12-10,21
2021-12-11,21
2021-12-12,21
2021-12-13,21
2021-12-14,21
2021-12-15,21
2021-12-16,21
2021-12-17,21
2021-12-18,21
2021-12-19,19
2021-12-20,19
2021-12-21,19
2021-12-22,19
2021-12-23,19
2021-12-24,19
2021-12-25,19
2021-12-26,19
2021-12-27,19
2021-12-28,19
2021-12-29,19
2021-12-30,19
2021-12-31,19
2022-01-01,19
